page_no,scene_title,text
1,  1         EXT. MERCEDES WINDSHIELD -- DUSK, 1                It's raining...                Light strobes across the wet glass at a rhythmic pace...                 Suddenly -- through the window a face -- JASON BOURNE --               riding in the backseat -- his gaze fixed.      
1,  A1        INT. MERCEDES -- NIGHT," A1                On his knee -- a syringe and a gun --                The eyes of the driver, JARDA, watching --                 BOURNE'S POV -- the passenger -- back of his HEAD -- cell               phone rings -- the HEAD turns -- it's CONKLIN --                 BOURNE returns his stare...        "
1,  2         INT. COTTAGE BEDROOM -- NIGHT, 2                BOURNE'S EYES OPEN! -- panicked -- gasping -- trying to                stay quiet -- MARIE sleeps.      
1,  A2        INT. COTTAGE LIVING AREA/BATHROOM -- NIGHT, A2                BOURNE moving for the medicine cabinet.  Digs through the               medicine cabinet.  Downs something specific.      
2,  3         INT./EXT. COTTAGE LIVING ROOM/VERANDA -- NIGHT," 3                One minute later.  BOURNE moves out onto the veranda.                 MARIE pads in.  Watching him for a moment.  Concerned.               Clearly it's not the first time this has happened.                 They both look different than last we saw them; his hair is               longer.  She's a blonde.  Hippie travelers.  Their cottage                is humble but sweet.  The bedroom opens to a beach and a               town just down the hill.  CLUB MUSIC from some all night               rave wafting in from the far distance.                                       MARIE                         Where were you, Jason?                                       BOURNE                         In the car.  Conklin up front.          2.                                       MARIE                         I'll get the book.                                       BOURNE                         No.  There's nothing new.                                       MARIE                         You're sure?                               (he nods)                         We should still -- we should write it                         down.                                       BOURNE                         Two years we're scribbling in a notebook --  *                                       MARIE                         -- it hasn't been two years -- *                                       BOURNE                         -- it's always bad and it's never *                         anything but bits and pieces anyway! *                               (she's gone quiet) *                         You ever think that maybe it's just *                         making it worse?  You don't wonder that? *                 She lays her hands on his shoulders, steadies him.                                       MARIE                         We write them down because sooner or *                         later you're going to remember something *                         good. *                                       BOURNE                               (softens)                         I do remember something good.  All the                         time.  I remember you.                 She smiles.  Kisses him.  Leads him back in.      "
3,  4         INT. COTTAGE BEDROOM -- NIGHT," 4                MARIE getting BOURNE into the bed.  Turning down the light.               Getting him settled.  Waiting for that pill to kick in.               What would he do without her?                                       BOURNE                         I'm trying, Marie, Okay?                                       MARIE                         I worry when you get like this.                3.                                       BOURNE                         It's just a nightmare.                                       MARIE                         I don't mean that.  I worry when you try                         to ignore it.                 He hesitates.  But that gets him.  He knows she's right.               And with that opening, he's letting go.  Resistance               folding.  Almost childlike.  She's gathering him in.               He's letting her do it...                                       MARIE (CONT'D)                         Sleep.  Sleep now.                                       BOURNE                         I should be better by now.                                       MARIE                         You are better.  And I think it's not                         memories at all.  It's just a dream you                         keep having over and over.                                       BOURNE                         But it ends up the same.                                       MARIE                         One day it will be different.  It just                         takes time.                               (beat)                         We'll make new memories.  You and me.                 Silence.  She strokes his face.  He gives in to her               tenderness.  He's fading.  Two waifs in the dark.         "
3,  5         EXT. BEACH -- GOA/BEACHTOWN -- DAY, 5                BOURNE running in the sun.  A punishing pace along the               sand.  Moving strong.  Effortless.  Deep into it.  Focused.               The stunning conjunction of sun and scenery are lost on               him.      
4,  6         EXT. OUTDOOR MARKET -- GOA/BEACHTOWN -- DAY, 6                A busy market town.  Fishing town.  Hippie town.  Lots of               young Western faces.  Rundown and happening at the same               time.                 MARIE shopping.  Filling a bag with local produce.            4.    
4,  7         EXT. ROAD -- GOA/BEACHTOWN -- DAY," 7                BOURNE still running, leaving the beach behind.      "
4,  8         INT. COTTAGE KITCHEN -- DAY," 8                MARIE back from the market, putting the groceries away.               Almost done, when she stops for a moment --                 A PHOTOGRAPH.  There on the windowsill.  A snapshot.  Jason               and Marie on a beach.  Her arms around him.  As if she were               the protector.  Big smiles.  Young.  Alive.  In love.                 MARIE smiles.      "
5,  9         EXT. MAIN STREET -- GOA/BEACHTOWN -- DAY," 9                Funky busy.  Colonial facades in vivid, sub-continental               technicolor.  Loud morning traffic.                 CAMERA FINDS                 BOURNE coming out of a store with a big bottle of water.               He's just finished his run.  Standing there, chugging away,               checking the scene, when something catches his eye --                 HIS POV                THE STREET.  A SILVER CAR -- something newish -- pulling               down the block -- can't quite see who's driving, but --                 BACK TO                BOURNE watching this silver car.  So serious he's casual.               Nobody passing would notice, but we do:  He's on alert .               MOVING WITH HIM AS                BOURNE follows THE SILVER CAR on foot -- natural --               cruising the BUSY SIDEWALK -- blending into the mix --               chugging on that water bottle and --                 UP AHEAD                THE SILVER CAR making the corner and turning now --                 BACK TO                BOURNE slowing as he reaches the corner --                5.                 HIS POV                THE SILVER CAR has parked.  There's a GUY -- well-dressed --               casual -- physical -- sunglasses -- call him KIRILL -- he's               out of the car and heading across the street toward a                building there.  A TELEGRAPH OFFICE.                 BACK TO                BOURNE checking his watch.  The car.  The guy.  Perimeter.      "
5,  10        INT. TELEGRAPH OFFICE/GOA -- DAY," 10    *                MR. MOHAN at his desk.  He's a crisp, proper man of fifty.               He's just been handed something --                 A PHOTOGRAPH OF MARIE -- an old passport picture.                                       MR. MOHAN                         And your question, sir?                 KIRILL across the desk.                                       KIRILL                         She's my sister.  There's been a                         death in the family.  This is the                         last place we know she called from.      "
5,  11        INT. COTTAGE -- DAY," 11                A NOTE ON THE TABLE:  ""I'M AT THE BEACH""                 BOURNE has just come in -- just read the note -- balling it               quickly.  In fact, everything is quickly now, because --                 BOURNE is bailing .               Fast.  Calm.  Methodical.  Some exfil procedure that he's               honed and choreographed.  Packing like a machine --                 RAPID TIME CUTS                -- BACKPACKS thrown open on the bed. --HOUSE CASH pulled                         from a lamp base. -- CREDIT CARDS taped under the counter.      "
6,  12        EXT. MAIN STREET/BANK GOA/BEACH TOWN -- DAY, 12                KIRILL coming out of the bank.  Mission accomplished.               Heading back to the SILVER CAR.  Getting in and --              6.    
6,  13        INT. SILVER CAR -- DAY (CONT)," 13                KIRILL starting it up.  Glancing around nice and easy.               He's cool.  Putting the car into gear, he makes a slow pass *               through the marketplace.  Eyes everywhere. *        14    *     "
6,  15        INT. COTTAGE -- DAY," 15                BOURNE -- done -- the place is stripped -- pulling on the               backpacks -- glancing around -- one last thing -- shit, he               almost missed it --                 THE PHOTOGRAPH -- the one of he and Marie on the beach --               the one we saw her looking at earlier -- there it is on the               windowsill -- jamming it into his pocket and --      "
6,  A16       EXT. SIDE STREET/PARKING AREA -- GOA/BEACHTOWN -- DAY, A16    *                KIRILL now parked and out of the car -- on the move -- on *               foot -- he begins a sweep of the beach. *      
6,  16        EXT. COTTAGE BACK DOOR -- YARD/ALLEY -- DAY (CONT)," 16                BOURNE out the back -- jogging -- keeping low -- into the               neighborhood -- through the alleys -- nothing random about                it, this has all been worked out and --        17    *     "
6,  18        EXT. BEACH -- GOA/BEACHTOWN -- DAY," 18    *                Crowded with tourists -- sunbathers -- MARIE at her               favorite spot.  Talking with TWO WOMEN, laughing with them -               - happy.                  "
7,  18A       EXT. BEACH/PARKING AREA -- GOA -- DAY," 18A    *                A burly JEEP comes roaring up.  BOURNE spots the SILVER *               CAR, parks at the other end -- takes off towards the beach. *                      7.    "
7,  19        EXT. BEACH -- GOA -- DAY, 19    *                KIRILL methodically making his way up the beach -- *               checking every blue tent -- every towel. *      
7,  20        EXT. BEACH -- GOA -- DAY," 20    *                BOURNE coming up the beach the opposite way -- one eye on *               KIRILL, one eye on MARIE. *                 He arrives just as KIRILL looks up and sees them a *               hundred yards away -- a hard stare between them -- BOURNE *               bends down -- *                                       BOURNE                         We gotta go, Marie.  We gotta go, now.                 From the tone of his voice, she knows it's serious. *               Marie grabs her bag.  A quick goodbye to the friends. *               They hurry off.  BOURNE uses the sunbathers as cover. *               KIRILL retreats. *      "
7,  21        EXT. BEACH/PARKING LOT -- GOA -- DAY, 21    *                They reach the JEEP -- she knows the drill -- bag tossed in *               the back -- even as the Jeep pulls away and --  *      
8,  22        INT. JEEP -- DAY (CONT), 22                BOURNE driving.  MARIE beside him --                                       BOURNE                         We're blown.                 She hesitates.  One minute ago everything was fine.                                       MARIE                         No...  How?                                       BOURNE                         The Telegraph office.                                       MARIE                         But we were so careful.                                       BOURNE                         We pushed it.  We got lazy. *                  8.    
